[2025-12-28 05:30:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:30:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:45:48] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:45:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:46:15] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:46:29] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:46:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 05:46:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 13:56:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:32:43] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:36:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:36:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:36:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:38:48] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:39:18] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:42:08] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:43:17] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:46:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:46:26] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:46:32] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:46:48] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:46:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:47:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:49:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:49:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:49:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:50:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:50:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:50:55] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:58:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 17:59:58] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:00:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:00:38] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:04:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:08:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:19:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:20:21] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:21:49] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:21:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:21:56] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:22:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:22:39] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:24:27] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:24:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:27:41] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:27:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:28:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:28:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:29:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:29:04] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:29:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:30:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:32:43] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:40:04] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:40:43] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:40:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:40:55] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:41:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:42:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:42:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:42:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:44:46] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:45:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:46:00] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:47:06] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:47:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:47:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:47:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:49:15] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 18:53:26] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 19:30:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 19:32:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 19:33:02] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:22:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:23:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:23:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:23:33] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:23:33] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:24:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:24:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:24:17] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:24:18] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:26:46] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:54:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2025-12-28 21:54:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:21:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:22:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:22:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:22:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:22:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:22:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:23:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:23:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:24:16] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:24:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:25:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:25:33] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:25:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:25:47] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:25:47] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:26:18] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:26:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:26:32] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:26:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:27:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:27:27] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:27:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:27:47] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:27:48] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:28:57] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-09 14:29:21] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:37:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:38:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:38:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:38:54] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:39:13] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:39:58] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:40:20] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:40:32] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:40:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:41:04] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:41:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:41:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:52:23] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:52:49] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:53:02] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:53:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:54:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:54:25] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:54:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:54:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:55:05] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:55:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:55:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:08] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:18] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:56:51] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:57:04] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:57:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:57:31] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:57:49] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-01-12 12:58:10] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:14:30] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:16:31] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:16:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:16:47] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:34] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:47] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:58] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:17:59] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:20:03] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:20:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:22:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:23:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:24:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:25:40] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:25:49] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:26:38] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:27:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:27:53] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:28:22] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:29:08] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:29:24] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:29:37] toggle_play_pause called | allow_video_detach=False | detached=False
